Date,Basin,Site,Access_Point,Species ,Length_mm,Mass_g,Method,Notes,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,60,2.2,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,59,2.2,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,62,2.8,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,140,30.2,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,122,20.2,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,51,1.4,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,54,1.8,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,69,4,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,60,2.2,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,56,2,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,128,26.4,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,65,3.2,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,58,2.2,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,103,12.1,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,59,2.4,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,61,2.7,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,62,2.8,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,54,2,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,60,2.5,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,66,3.1,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,120,21,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,56,1.4,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,59,2.5,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,69,3.5,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,66,3.4,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,56,2.1,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,75,5,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,55,1.8,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,68,3.1,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,61,2.1,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,72,4.3,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,64,3,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,58,1.8,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,59,2.3,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,59,2.2,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,50,1.4,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,60,2.5,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,61,2.6,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,76,6.1,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,51,1.5,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,53,1.5,Practice Pass 1,,,,,
